AB	05	AB_05	TN	E	09002016	35.55297	83.49438	1812	57.7
AB	08	AB_08	TN	E	09002016	35.55212	83.49259	1785	44.3
AB	12	AB_12	TN	E	09002016	35.5389	83.49463	1750	36.8
AB	16	AB_16	TN	E	09002016	35.53882	83.49534	1738	44.0
AB	18	AB_18	TN	E	09002016	35.53945	83.49375	1769	68.2
BFA	01	BFA_01	WV	E	09282017	38.47660	79.72290	1348	21.8
BFA	02	BFA_02	WV	E	09282017	38.47666	79.71849	1325	14.6
BFA	03	BFA_03	WV	E	09282017	38.47696	79.71696	1336	37.2
BFA	04	BFA_04	WV	E	09282017	38.47797	79.71650	1333	21.6
BFA	05	BFA_05	WV	E	09282017	38.47892	79.71738	1328	65.6
BRB	01	BRB_01	WV	E	10022017	39.11781	79.58277	988	59.5
BRB	02	BRB_02	WV	E	10022017	39.11853	79.58482	985	43.6
BRB	03	BRB_03	WV	E	10022017	39.11863	79.58606	983	22.0
BRB	04	BRB_04	WV	E	10022017	39.11602	79.58139	986	7.0
CR	03	CR_03	NC	E	09002016	35.748862	82.272246	1819	37.3
CR	04	CR_04	NC	E	09002016	35.750184	82.270068	1811	42.8
CR	05	CR_05	NC	E	09002016	35.75331	82.270147	1792	31.9
CR	06	CR_06	NC	E	09002016	35.755691	82.269877	1776	39.3
CR	07	CR_07	NC	E	09002016	35.758106	82.267885	1763	27.9
CRA	01	CRA_01	WV	E	09272017	38.18880	80.27092	1072	57.3
CRA	02	CRA_02	WV	E	09272017	38.19923	80.27311	1026	8.9
CRA	03	CRA_03	WV	E	09272017	38.19989	80.27286	1023	15.0
CRA	04	CRA_04	WV	E	09272017	38.20064	80.27233	1023	12.6
CRA	05	CRA_05	WV	E	09272017	38.20126	80.27228	1021	8.6
CRA	06	CRA_06	WV	E	09272017	38.19853	80.27083	1026	45.8
DG	04	DG_04	NC	E	09002016	35.78115	82.2597	1955	40.1
DG	05	DG_05	NC	E	09002016	35.78197	82.25905	1915	44.5
DG	06	DG_06	NC	E	09002016	35.78233	82.25908	1908	45.6
DG	08	DG_08	NC	E	09002016	35.78377	82.25858	1897	28.1
DG	10	DG_10	NC	E	09002016	35.786327	82.25755	1922	55.4
GFM	48	GFM_48	NC	E		36.0898	81.8383	1425	29.9
GFM	49	GFM_49	NC	E		36.0902	81.8376	1423	34.7
GFM	50	GFM_50	NC	E		36.0905	81.8369	1437	26.9
GFM	51	GFM_51	NC	E		36.0911	81.8365	1444	44.9
GFM	55	GFM_55	NC	E		36.0928	81.8361	1486	44.9
GPA	01	GPA_01	WV	E	09292017	38.61560	79.84402	1363	31.8
GPA	02	GPA_02	WV	E	09292017	38.61929	79.89560	1339	49.3
GPA	03	GPA_03	WV	E	09292017	38.61926	79.84243	1314	39.9
GPA	04	GPA_04	WV	E	09292017	38.59968	79.85046	1147	39.6
HR	01	HR_01	TN	E	09002016	35.5714	83.17954	1615	59.2
HR	02	HR_02	TN	E	09002016	35.5716	83.17953	1624	55.9
HR	03	HR_03	TN	E	09002016	35.56898	83.17448	1627	57.8
HR	05	HR_05	TN	E	09002016	35.57113	83.1706	1607	59.7
HR	06	HR_06	TN	E	09002016	35.57026	83.16939	1605	55.9
HR	07	HR_07	TN	E	09002016	35.56706	83.16762	1595	59.9
HR	10	HR_10	TN	E	09002016	35.61916	83.20716	1036	27.1
KOS	01	KOS_01	WV	E	09292017	38.69131	79.53503	1356	20.5
KOS	02	KOS_02	WV	E	09292017	38.68940	79.54405	1419	51.6
KOS	03	KOS_03	WV	E	09292017	38.69502	79.54109	1428	35.3
KOS	04	KOS_04	WV	E	09292017	38.69886	79.53380	1479	8.8
KOS	05	KOS_05	WV	E	09292017	38.69966	79.53350	1488	19.7
KOS	07	KOS_07	WV	E	09292017	38.70230	79.53020	1485	43.9
MRC	02	MRC_02	VA	E	10122016	36.672274	81.506	1600	32.8
MRC	07	MRC_07	VA	E	10132016	36.6625	81.516944	1569	43.4
MRC	08	MRC_08	VA	E	10142016	36.6625	81.516111	1554	51.1
MRC	16	MRC_16	VA	E	10152016	36.65629	81.54009	1616	23.4
MRC	18	MRC_18	VA	E	09002016	36.65793	81.53847	1645	18.3
MT	01	MT_01	NC	E	09002016	35.7568	82.2524	1711	59.5
